match_id;match_date;home_team;away_team;bookmaker;market;selection;odds;snapshot;captured_at;fixture_id
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;1X2;home;3.11;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;1X2;draw;3.11;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;1X2;away;2.53;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;over_under_2.5;over;2.31;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;over_under_2.5;under;1.653;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;btts;yes;1.934;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;btts;no;1.9;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;corners_over_under_9.5;over;1.781;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;corners_over_under_9.5;under;2.009;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;bet365;1X2;home;3.1;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;bet365;1X2;draw;3.1;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;bet365;1X2;away;2.45;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;bet365;btts;yes;1.909;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;bet365;btts;no;1.909;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;bet365;corners_over_under_9.5;over;1.727;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;bet365;corners_over_under_9.5;under;2.0;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;betano;1X2;home;3.1;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;betano;1X2;draw;3.0;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;betano;1X2;away;2.5;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;betano;over_under_2.5;over;2.25;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;betano;over_under_2.5;under;1.65;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;betano;btts;yes;1.87;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;betano;btts;no;1.88;closing;2026-07-25T18:04:38.778091+00:00;id1000032566886488
37326;2026-01-28T22:00:00+00:00;Atletico-MG;SE Palmeiras;pinnacle;1X2;home;3.11;closing;2026-07-25T18:05:52.407996+00:00;id1000032566886488
